f0,f1,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200
9200,-37400,2.0360769152060634,961.04361058077484,221.61071627003008,223.88460023605771,379.206400284528,265.03019627155305,121.04538393057345,797.63135698652184,328.49112954163132,377.13616126924495,603.11657065923237,104.8719514402884,288.69947986912854,309.72775675755753,244.13464845318967,84.587817729746888,996.79072031188468,723.02282278051962,67.172210796839408,102.88897482055421,829.90585699699625,532.13490237905683,922.87850690507298,565.36817326832511,261.99493133383407,842.18589908677257,988.81584854349023,408.56191320065045,960.00444865178383,245.28261455335297,131.23068020517027,635.18669617817682,226.56778914464888,418.67141008425642,355.93222477654365,813.99955771733414,538.43326472534682,899.4429479231344,402.4769067114957,461.83462757340919,44.858558315491081,452.20082990373476,692.40164914443892,649.39202403632385,391.54992110901429,596.28350717309149,386.82532024019559,196.13348698128033,97.683056412057084,176.33561038264429,78.970664989896775,390.98166910495991,214.6942259436118,188.9349275772434,654.97346428548212,871.68577855896865,575.32203489664005,481.23641803518194,891.82729437512467,969.12511536203328,267.4703612979269,413.27997321795328,14.761977054447044,80.403620282223656,658.13631518736281,183.08027410171837,902.32823191176476,546.45634890459678,522.91505823871591,640.97713760829538,138.12538712588153,719.94859264202103,929.46066496219748,531.93953143836427,828.96389998309667,543.36754289753867,273.14854270674601,821.92051886713375,169.92432809037632,629.1136075963035,62.021866908638401,799.32325404749861,303.90514442917095,277.98061452150171,191.37420992613932,743.81766856090428,314.59302166091675,384.31425375502829,761.83702294305749,477.56505018380057,446.90821896244336,469.70679536715789,749.80908345411706,33.346475636328023,357.37293449982741,805.44378767139892,413.16519452481896,715.7989481428267,578.89564178409717,203.26327476055724,55.063051059449151,-31.039983373330653,29.67620258490491,31.076105532418769,-33.980995946730346,41.018629850828503,-67.66615592972768,-79.819502422097827,53.338817820255848,28.954464864449225,-75.012120690188397,71.943744558086777,6.3718714920604462,-43.635196459093748,21.826632290394613,-0.49745752553921463,-4.9107999963142923,-10.513612159700761,67.899914196248062,73.823607454100127,62.432064421888853,74.154486125204443,-40.724871895037793,-79.051933071023598,-27.405725964766312,30.483061221456367,-78.20872005534244,-26.10064627599802,40.647871073480388,43.148555389732444,-18.537356042022491,-0.68343168453073133,59.215322324269358,77.416856777120628,51.746886295540335,5.7573167277267476,-20.059977363208219,22.392004424131137,75.655004094367854,76.999865955781843,-61.731846014968411,-47.824280185740072,46.408435154629302,5.3855892144618682,-7.895834089659612,-25.532612180211302,-58.196364661629325,-6.3721306377571096,24.666031894128196,-10.612585283274882,16.093063456362589,-6.3397493240663092,58.869556038996031,-16.483296278604286,26.016531631767432,-0.60448492635721784,19.540565765628198,24.227545009230894,23.427040875297131,52.594838245112498,-78.381719738616994,41.771689424242155,-39.682829248082939,-49.149512670427775,37.353937693684664,-77.268053139369215,-69.426759328700655,-23.518269777066607,-11.048176186971386,-68.652412259399441,-64.198007693129284,57.962979170450666,21.471342725137845,-71.492889009865223,-83.437314657194989,-16.559859576883682,-11.914935487225858,-35.579850976421938,14.366999347709005,84.39534840285279,1.6461175221174145,30.836465849076106,82.216451859966412,81.653910764599857,-52.49104758109867,39.228176425787005,8.2175975346562247,-27.194974859071664,19.368166820575567,-32.376429824095197,-68.062122093209936,-4.7898883864118531,-61.011277997859303,-8.8999618140980843,49.23365799904068,68.688368433456674,-80.542830018292449,37.248522656229788,79.069612712428651,29.437598006694817,48.773367731531636
9200,-37400,2.0360769152060634,961.04361058077484,221.61071627003008,223.88460023605771,379.206400284528,265.03019627155305,121.04538393057345,797.63135698652184,328.49112954163132,377.13616126924495,603.11657065923237,104.8719514402884,288.69947986912854,309.72775675755753,244.13464845318967,84.587817729746888,996.79072031188468,723.02282278051962,67.172210796839408,102.88897482055421,829.90585699699625,532.13490237905683,922.87850690507298,565.36817326832511,261.99493133383407,842.18589908677257,988.81584854349023,408.56191320065045,960.00444865178383,245.28261455335297,131.23068020517027,635.18669617817682,226.56778914464888,418.67141008425642,355.93222477654365,813.99955771733414,538.43326472534682,899.4429479231344,402.4769067114957,461.83462757340919,44.858558315491081,452.20082990373476,692.40164914443892,649.39202403632385,391.54992110901429,596.28350717309149,386.82532024019559,196.13348698128033,97.683056412057084,176.33561038264429,78.970664989896775,390.98166910495991,214.6942259436118,188.9349275772434,654.97346428548212,871.68577855896865,575.32203489664005,481.23641803518194,891.82729437512467,969.12511536203328,267.4703612979269,413.27997321795328,14.761977054447044,80.403620282223656,658.13631518736281,183.08027410171837,902.32823191176476,546.45634890459678,522.91505823871591,640.97713760829538,138.12538712588153,719.94859264202103,929.46066496219748,531.93953143836427,828.96389998309667,543.36754289753867,273.14854270674601,821.92051886713375,169.92432809037632,629.1136075963035,62.021866908638401,799.32325404749861,303.90514442917095,277.98061452150171,191.37420992613932,743.81766856090428,314.59302166091675,384.31425375502829,761.83702294305749,477.56505018380057,446.90821896244336,469.70679536715789,749.80908345411706,33.346475636328023,357.37293449982741,805.44378767139892,413.16519452481896,715.7989481428267,578.89564178409717,203.26327476055724,55.063051059449151,-31.039983373330653,29.67620258490491,31.076105532418769,-33.980995946730346,41.018629850828503,-67.66615592972768,-79.819502422097827,53.338817820255848,28.954464864449225,-75.012120690188397,71.943744558086777,6.3718714920604462,-43.635196459093748,21.826632290394613,-0.49745752553921463,-4.9107999963142923,-10.513612159700761,67.899914196248062,73.823607454100127,62.432064421888853,74.154486125204443,-40.724871895037793,-79.051933071023598,-27.405725964766312,30.483061221456367,-78.20872005534244,-26.10064627599802,40.647871073480388,43.148555389732444,-18.537356042022491,-0.68343168453073133,59.215322324269358,77.416856777120628,51.746886295540335,5.7573167277267476,-20.059977363208219,22.392004424131137,75.655004094367854,76.999865955781843,-61.731846014968411,-47.824280185740072,46.408435154629302,5.3855892144618682,-7.895834089659612,-25.532612180211302,-58.196364661629325,-6.3721306377571096,24.666031894128196,-10.612585283274882,16.093063456362589,-6.3397493240663092,58.869556038996031,-16.483296278604286,26.016531631767432,-0.60448492635721784,19.540565765628198,24.227545009230894,23.427040875297131,52.594838245112498,-78.381719738616994,41.771689424242155,-39.682829248082939,-49.149512670427775,37.353937693684664,-77.268053139369215,-69.426759328700655,-23.518269777066607,-11.048176186971386,-68.652412259399441,-64.198007693129284,57.962979170450666,21.471342725137845,-71.492889009865223,-83.437314657194989,-16.559859576883682,-11.914935487225858,-35.579850976421938,14.366999347709005,84.39534840285279,1.6461175221174145,30.836465849076106,82.216451859966412,81.653910764599857,-52.49104758109867,39.228176425787005,8.2175975346562247,-27.194974859071664,19.368166820575567,-32.376429824095197,-68.062122093209936,-4.7898883864118531,-61.011277997859303,-8.8999618140980843,49.23365799904068,68.688368433456674,-80.542830018292449,37.248522656229788,79.069612712428651,29.437598006694817,48.773367731531636
9200,-37400,2.0360769152060634,961.04361058077484,221.61071627003008,223.88460023605771,379.206400284528,265.03019627155305,121.04538393057345,797.63135698652184,328.49112954163132,377.13616126924495,603.11657065923237,104.8719514402884,311.9382297723497,309.72775675755753,244.13464845318967,84.587817729746888,996.79072031188468,723.02282278051962,67.172210796839408,102.88897482055421,829.90585699699625,532.13490237905683,922.87850690507298,565.36817326832511,261.99493133383407,842.18589908677257,988.81584854349023,408.56191320065045,960.00444865178383,245.28261455335297,131.23068020517027,635.18669617817682,226.56778914464888,418.67141008425642,355.93222477654365,813.99955771733414,538.43326472534682,899.4429479231344,402.4769067114957,461.83462757340919,44.858558315491081,452.20082990373476,692.40164914443892,649.39202403632385,391.54992110901429,596.28350717309149,386.82532024019559,196.13348698128033,97.683056412057084,176.33561038264429,129.97384165569312,390.98166910495991,214.6942259436118,188.9349275772434,654.97346428548212,871.68577855896865,575.32203489664005,481.23641803518194,891.82729437512467,969.12511536203328,267.4703612979269,413.27997321795328,14.761977054447044,80.403620282223656,658.13631518736281,183.08027410171837,902.32823191176476,546.45634890459678,522.91505823871591,640.97713760829538,138.12538712588153,719.94859264202103,929.46066496219748,531.93953143836427,828.96389998309667,543.36754289753867,273.14854270674601,821.92051886713375,169.92432809037632,629.1136075963035,62.021866908638401,799.32325404749861,303.90514442917095,277.98061452150171,191.37420992613932,743.81766856090428,314.59302166091675,384.31425375502829,761.83702294305749,477.56505018380057,446.90821896244336,469.70679536715789,749.80908345411706,33.346475636328023,357.37293449982741,805.44378767139892,413.16519452481896,715.7989481428267,578.89564178409717,203.26327476055724,55.063051059449151,-31.039983373330653,29.67620258490491,31.076105532418769,-33.980995946730346,41.018629850828503,-67.66615592972768,-79.819502422097827,53.338817820255848,28.954464864449225,-75.012120690188397,71.943744558086777,6.3718714920604462,-43.635196459093748,21.826632290394613,-0.49745752553921463,-4.9107999963142923,-10.513612159700761,67.899914196248062,73.823607454100127,62.432064421888853,74.154486125204443,-40.724871895037793,-79.051933071023598,-27.405725964766312,30.483061221456367,-78.20872005534244,-26.10064627599802,40.647871073480388,43.148555389732444,-18.537356042022491,-0.68343168453073133,59.215322324269358,77.416856777120628,51.746886295540335,5.7573167277267476,-20.059977363208219,22.392004424131137,75.655004094367854,76.999865955781843,-61.731846014968411,-47.824280185740072,46.408435154629302,5.3855892144618682,-7.895834089659612,-25.532612180211302,-58.196364661629325,-6.3721306377571096,24.666031894128196,-10.612585283274882,16.093063456362589,-6.3397493240663092,58.869556038996031,-16.483296278604286,26.016531631767432,-0.60448492635721784,19.540565765628198,24.227545009230894,23.427040875297131,52.594838245112498,-78.381719738616994,41.771689424242155,-39.682829248082939,-49.149512670427775,37.353937693684664,-77.268053139369215,-69.426759328700655,-23.518269777066607,-11.048176186971386,-68.652412259399441,-64.198007693129284,57.962979170450666,21.471342725137845,-71.492889009865223,-83.437314657194989,-16.559859576883682,-11.914935487225858,-35.579850976421938,14.366999347709005,84.39534840285279,1.6461175221174145,30.836465849076106,82.216451859966412,81.653910764599857,-52.49104758109867,39.228176425787005,8.2175975346562247,-27.194974859071664,19.368166820575567,-32.376429824095197,-68.062122093209936,-4.7898883864118531,-61.011277997859303,-8.8999618140980843,49.23365799904068,68.688368433456674,-80.542830018292449,37.248522656229788,79.069612712428651,29.437598006694817,48.773367731531636
2700,-0,2.0512186258508489,960.92415195144383,885.56175497907657,231.88487484569015,380.38361537512731,265.04528018313647,116.51135994710432,438.93779179879022,328.55873246399091,472.11964281395962,294.22690323069372,110.09159432181042,285.85298269828445,309.39410063984178,618.62980437720501,62.585167988299872,596.05605355188698,721.94540789777795,73.817234599944314,107.51575679447822,911.50772544704341,337.43275297139974,466.45053482741127,575.12623788948326,267.5034988236481,765.61113662547064,82.636929136960703,96.383978417585126,964.35818645793017,244.55670262003554,925.37332125303192,641.16959481555921,124.44208567424764,162.75646069139043,884.15002577881353,814.34535538093553,528.81382332813723,906.05059628614504,1000,435.94266226136386,226.59448257991656,469.34745663765091,692.40655603260154,632.75392510685765,741.51758458016627,586.39032383601091,255.37024865062654,196.48475876736092,113.99872167677245,96.260280249463705,83.4430233085032,372.52176896558882,229.77367409447999,182.81519547457896,654.70367651054528,883.21217171226158,572.9909566408129,474.75852927194239,341.032353010446,969.39778978232903,120.91661397053524,193.85119546118216,972.60435560764824,810.60503755476543,502.84243596926279,90.755276751595815,903.37318944200149,866.5383292093976,525.7427884108788,777.11025172046072,485.28687034968476,60.385077965577409,39.456678334860953,712.38123900382141,832.30959685683695,572.3644621966364,291.99537731151156,799.16536492122214,284.03698221983399,653.48761216499281,62.042820397863878,12.903744574018958,301.47551299532404,709.01060337721515,189.28146927799128,738.38991426554355,630.52892701924304,416.87542404220892,354.62835557849655,215.93609758895971,445.74767162913639,94.956388331355839,735.2789409474583,773.1999682587815,319.1307898942195,806.1899229348578,459.44399159796876,713.23078408505,578.58630809822694,776.15724584609609,221.46016643765114,-20.314635345110958,30.589162826224481,-37.609512409421953,-58.796472950951461,35.212123310615098,50.529760961623737,-42.87072682898237,52.029597675043966,26.619151404328328,-75.002421561629305,-58.774920804953048,6.3417509752018573,-43.62691809294494,85,-25.504328252900262,-77.674366213346389,36.05492399645069,66.201848939280708,-36.852026424079412,33.459739461029471,-54.940958142771123,-41.569762669505707,71.301643687697378,-27.366879097004478,57.92732016283847,-78.480567008376752,-27.628647174764819,40.251706628060468,39.634699024089883,-19.328203282733352,-0.10354179404997765,59.216703684816785,75.222988015216458,57.420935295522106,6.4271186362751989,15.061214891432616,8.7052201830039238,-80.105007203342623,76.953396168021214,-61.769818301990448,-75.509238220666475,2.4428729244601506,9.4545576499854178,-7.0943939770813138,-49.462292650345411,-4.9058873172369779,-6.9547534575930872,24.262584761845158,-83.996662973510524,50.016044434608972,-6.3885145940047314,64.245671841673257,-44.651240352683729,27.42163993610739,-81.056225371954937,16.508864789962395,23.576662147845152,56.759886196338982,52.659527297700699,-74.303759177872678,-20.948144418893719,49.305229832377954,17.502945646420027,37.602719688297313,-77.806252125097018,-68.509882301866796,-25.310292247454676,32.964586150299084,-71.61302120242766,-63.088195258034958,59.071654826670247,33.701276782925483,-68.065562922083387,-83.130729687471131,-16.192083235784303,3.6369657740704797,-35.659563141252796,14.389200048070728,81.436286062760018,1.5548650276274536,29.155506919080555,4.1939004259825552,77.469538159895194,-2.3367058306941004,71.286450112208854,-7.1068853404496197,73.319288556877567,71.012944888622286,32.280547019036987,30.793825324080359,-22.213359139228146,38.605920195420339,77.520387417654064,53.881380741259179,69.302496216777811,-80.293752481862157,37.451940439687931,-11.366333210674867,-17.683406906913397,48.698406251931061
13700,-59300,2.2173087680631007,961.08676520369852,37.030979473359267,231.83549106892508,380.3116201736641,254.98279808085607,107.54978238004971,811.97481362604731,328.49180679714215,377.14658791559572,603.15381482884084,107.91061994013566,285.15911399129533,40.046543799026722,244.12766360438286,84.620011210199849,11.960285511632947,515.16446708685794,62.631433605430516,820.77722453452884,829.87978252389939,55.693111446469544,923.13332596324437,565.85380030026658,261.90873257006717,846.29293578738429,984.4929864762405,408.4036644115734,960.33858308327945,877.8053646905671,131.27970371614953,382.02440218358458,10.351232289323207,892.01949096392332,355.03522782107711,811.81104448648455,538.58464842989702,397.27754362482341,402.95087317000036,461.83339579787923,573.92047926637406,447.35015908620045,274.29298630543832,644.94487583362832,355.50769388011838,590.13219920949996,386.71234301730283,211.74356425543917,332.29437949176292,175.5490647416764,79.398111037320589,395.78245936796395,198.67502099880824,196.56047982301777,659.05285483841169,874.30588686739588,651.08933541259739,482.26616537729649,893.40340567051953,971.97231919992282,272.84564443312735,414.69313459005082,8.6169530235959684,81.100874500915992,658.18358604197147,183.07494832533342,813.82663113431568,928.65287378585845,522.92463090395177,641.05476219405705,161.11706566787791,719.93054949457735,550.50343696264486,532.33928324921442,206.33709678885953,530.69957406214894,417.35084643887205,821.89001380277216,169.95441127206129,629.34640348644018,61.655473670413912,801.65864496940299,823.64566873505078,87.560933410720864,145.30674613486966,749.58877567693639,682.20763330881323,384.32718265350331,33.706795720530067,477.56994412875326,449.43283271253273,466.98723306869948,749.80420747273229,367.47589119065242,362.99527747985383,805.38845295200304,120.36780360653864,715.86068267441453,579.13065272217352,229.09882590634243,54.521714985896125,-30.990025064818205,30.020953479771123,29.579212774983723,-34.713721963742124,41.065290011757767,-67.663663448513248,-80.185246082927321,53.713387490293435,-29.809269156577276,-71.312637157317852,69.925447493072937,5.4373424492677316,-43.816560660254851,20.336894507767301,-0.49846288893427898,-4.9733775269193163,-37.663966264958013,67.900512747277944,73.828523954910239,0.26941549404940091,75.938066189963706,11.440307966566749,-79.343956976089302,-27.77238772844705,30.482918920185952,-76.991410054638905,-27.282895245032726,44.58342735785974,-20.37975886572756,-17.037184738719514,-0.43461586623942594,58.665833166120755,77.508655230901567,9.4871021720895321,4.9417722006275646,-20.884667328014288,53.272460761230761,70.611079481674338,15.094415301464984,-61.728212599438869,-47.935331989876879,46.392908925059295,5.9345882437878128,-6.2900972460901974,-28.236356724316298,-7.4549532109387968,-6.3722930402518712,24.660777488601269,-12.330182067125481,16.05263965479552,-6.4481387195624427,56.784676898462159,-14.38899618081156,26.070117329547873,-0.60402083885456659,21.246406575223077,24.196196711255386,27.933717410793825,52.595091212293347,-79.62352757329954,59.217472052436278,-12.523373162975018,16.65632028976006,67.387235848559015,-79.329367859234594,-69.954934255767981,39.268809436907652,38.807740235730968,-68.63123502235895,-64.09191269570421,53.161752987642821,-76.858275469458277,-20.874444272680936,-84.418937624139446,-16.221750632381742,-8.3472728833591816,-36.491726144433876,14.404575944800056,82.156011158817989,1.6480479345229297,30.840770778413699,82.217455187539429,1.9079614128062445,-52.48340044278082,39.227192884737718,9.0354517297272725,-27.194119656625688,38.384891968453772,-32.146330691808188,-72.279980892060848,-4.7937974174870481,-61.655678068709179,29.815016098508131,48.875751892477915,70.413065949068681,-80.543000901341173,37.000440696412461,42.421408903165947,-33.574085603446498,49.031189255882978
9700,-43900,2.031151936800887,948.82861989959019,225.55932110983741,218.59720630465483,357.80096944537524,264.91424334976568,120.51073799976297,238.31443770022497,323.66755609116359,461.27646048980102,595.37671535000266,98.090853733777948,273.54992559676828,105.59940292506775,66.888867570116048,84.574338148134288,996.54090227182314,722.91898264952988,555.60986790249513,100.70048743212263,840.86672686463896,566.61467182050808,941.47352867141728,566.86945123512032,343.73206888711627,852.44349003154002,662.69808284511043,408.49800185237814,892.29036575130306,244.67274825148345,915.22420658624355,634.51529948168934,226.78612128808257,875.90525074054267,356.83270344565636,814.83256798216519,958.01493642084552,896.41475936851521,383.42960492811892,455.01110525774601,29.659608872289994,901.08943806042976,384.93446678404149,651.03543041582054,400.44435057305088,307.68179797237894,269.72426491698008,208.41509239816759,311.68699150406138,177.86394551456621,75.771422251977143,390.72561131074644,217.11507326660774,882.07665129882344,323.73119595585473,857.30502150655695,573.78540888985242,474.05583896248226,894.8275274737473,877.6823463344532,148.9778511080408,710.35813199060271,723.95306389045243,402.86609589849382,658.51442484445272,183.10874258586693,813.84684432089125,981.74852907865852,528.59847268994702,646.28801969129074,822.96065754678307,723.7246505199455,965.14055868592732,525.33125743048424,55.387398063420449,543.5466182330282,599.78157909759648,821.9507801767603,188.78547812771436,680.08189136547162,584.19467051907964,202.38469749235429,317.34143771308021,92.983602114581814,201.88261741523363,427.96450811099601,313.14464197383279,377.31822824195712,722.14274249736513,489.48378397860415,322.77148426691184,100.01109821001671,779.07497599999442,0.11311652761048663,355.25318577982625,801.85146182607491,437.81435186703999,723.06556092586391,896.28525721212759,210.54865309577664,56.730112675649366,-30.925777758817937,9.5086106735575591,-28.22706239694007,-34.397070703129657,42.943193564720069,10.045472957113999,24.013528274850238,53.349819395562598,-30.19866509702274,-77.260639324550226,67.9994675347899,5.6399241786212144,-13.349434521666804,21.922839103205703,-68.961200005262384,1.8733677007226273,0.96010016718413294,77.839787569715796,73.812665860795562,66.378468713809994,74.267057742774625,-41.70284121545513,-79.980422578072577,-29.660256337981476,-35.431292918370119,-32.662718764388316,66.821880671187699,-66.153629635907421,43.11035083274502,-17.162306510198306,-0.22780472649884587,60.748559596317932,-9.2894065060914457,51.475180619670361,5.7400999270421265,-18.567956739427554,23.793409318650237,27.244372162893068,71.679393203729319,-61.620291856364133,-42.403991392705265,45.422796471514545,5.9542191910498499,-6.486148346713172,33.711442975048612,-58.048654820778829,-0.21900224537220581,20.024157200405188,-10.658606699287894,-21.414303152945259,-6.0364910139556365,57.147600487251033,-16.992339368038465,26.352575330713336,-1.0097648528708401,20.084176024624448,23.999599105539712,-27.458453036067247,36.231182936961901,-73.572798867737774,35.502576434028967,-39.302042406933154,-10.249375067303596,68.819855215198274,71.290447003241738,58.386033041986906,36.814050845098855,38.234366860206798,-68.631643091037802,-36.757869699613934,58.00207733743305,-69.668294715896792,-14.694013668365521,-52.148371672976573,3.4002907193858904,-39.943270704103398,-37.155278294508918,14.37015919359081,-70.254445728545718,36.933441335801888,29.960155791340803,30.022471731233072,-1.0723675212817128,48.535564096286016,37.373746431540766,-76.063858199360197,-27.344446225888401,19.375959718463456,-33.955598641025489,-68.029327659269512,-3.4961746322503764,-57.878753028796659,-9.120819847828237,49.520258293819388,69.43439261135272,-79.475345273168259,37.187046205667365,80.143675416944816,29.210627634886251,20.532239089764317
56700,-68300,2.0004112821986606,232.24882303141874,4.991911209491164,308.79362129501902,50.761989790399781,249.97397987254959,134.83714819910227,538.0338467098062,102.65097764882593,480.90283534621631,604.4335177114167,97.950107246916559,296.67029278169042,310.81671024776244,68.438032995367251,87.217888469918663,532.51655042028619,721.77453566914812,156.43089480386999,396.16676650682501,829.50985667112332,523.86756603391677,923.98722019438878,622.66738768116375,270.47001739460688,847.57500737835915,667.73477122040435,444.00290237338459,967.73518373026195,248.80329036713721,719.1937312817729,637.42738127546818,226.44283212352963,946.24307211845951,574.41565460499089,818.12737178643499,254.91152306533738,396.81779863832435,459.04458479432128,414.52028265295291,43.876324797230723,450.83767516633662,270.91832469451094,400.5839833578226,389.42998796473893,597.66946189794317,273.97596009178011,375.15897130289056,185.58810389421041,881.10054615170736,565.23690673636531,43.976516556411212,210.18379419134709,188.55523133556659,635.29132937128736,644.00858162321742,341.80293606645023,238.90961018065317,343.59404605548661,497.09393571396538,263.20897641672087,409.93729154029461,6.3531337813234927,648.24623617744737,486.1364910332004,849.81933461112692,616.94029505394519,546.81126779983606,484.49298559103181,612.3930023005729,140.69170281862642,734.70894513516964,940.32478471027753,533.29237977470257,828.20761920882978,545.07320201941798,277.76539987269928,818.90372033321739,171.12373255008401,765.03245133478447,594.88275296280267,799.38077556978442,303.90990535989761,277.20270769885695,139.83217228803824,739.93271474569383,672.08468149024043,379.08436307129057,761.14001803796918,458.90527361914906,839.64896137183257,98.94441550541049,753.48321175104923,8.1667646023666407,793.96029763282058,652.08097016548413,412.29652136882095,718.1530120852733,579.30252532862414,195.30220075732342,205.31139576038461,-30.947702186473521,-53.291491020536363,31.226790491265024,-34.068370560245313,41.558233473815548,-68.560329722728653,-74.135887713676098,-22.658794799353736,29.323733631430549,-75.019998745391391,-58.815887578019101,5.9174880957941767,-43.827036095574002,23.447766701265127,-49.455697724156224,-4.327058100124777,-10.50487082510206,71.473271049564644,73.643853425312102,-75.089833182560753,73.695854391338486,-41.226293433222246,-84.487111583894887,-54.680912956518057,30.062027731532318,-82.619227742091482,-26.835252102682205,-34.330309923174006,44.708021423236403,-19.178246743151885,-2.5999403817087909,48.940217189480279,77.014811564399224,-26.626691276751629,3.1561719101747769,-17.155409399456722,29.056213636286927,82.496769557112458,-14.668848285201726,-62.241381552424677,-49.331759370871161,46.350986307906531,5.9759444091334268,-8.80378737444547,-25.671599318614135,-5.7311006293377176,-7.9718203015159972,28.575727582390389,-81.034406779812102,-19.018028831988026,-6.1612879723840228,60.906206583783231,34.980530248094752,-77.073512132231201,1.8251869515634951,9.6788942474771389,75.438823003629281,23.380948080316941,52.49695298945889,65.271691724686647,-36.850659182940007,-34.547203657791648,-52.828452587578553,2.7568319014043183,42.158281680077096,-67.055903681461558,34.59162159383645,-8.9022407905036278,-68.532184839303838,-61.734310635024883,54.627099156632234,21.86923330785233,-15.416211554936801,-83.412670419022206,-0.10877312438928755,-11.459217716951102,-35.185725862553362,33.743653792872045,68.780416093127357,1.9273311602073591,31.551743783003023,49.576347118521795,-29.103074544934856,-52.940632556377366,39.699689334219713,8.2553608408562766,-22.90228312516729,19.512516942914619,-28.856230223448101,-68.226378454613368,-6.7968163697758364,-60.934102190013874,-9.5884808960607941,49.484791256448737,79.399950159366611,-80.493814245894939,37.250332921997504,-46.748394809837208,29.378946198312267,48.850735684846015
